id,title,requirement,responsibility
120415611,Python-разработчик,Опыт коммерческой разработки на <highlighttext>Python</highlighttext> от 1 года. Понимание принципов ООП и паттернов проектирования. Опыт работы с одним из современных...,"Разработка и поддержка многопоточных приложений. Разработкой веб приложений на <highlighttext>Python</highlighttext> (Django, FastAPI). Участие в разработке архитектуры системы. Декомпозиция и оценка..."
120491365,Тестировщик,...сложные SQL запросы. ⁠Опыт работы с Unix\Linux shell обязательное. ⁠Минимальный опыт работы с docker. Минимальные знания языка программирования <highlighttext>Python</highlighttext>.,"Тестирование монолитного приложения (толстый и тонкий клиент). Тестирование кода приложения. ⁠Составление новой и поддержка имеющейся тестовой документации (тест-планы, тест..."
120461919,Тестировщик (QA engineer),...техник тест-дизайна и видов тестирования. Понимание процессов тестирования и разработки. Базовые навыки автоматизации (<highlighttext>Python</highlighttext>/Java/JS или другой язык).,"Обнаружение, документирование и отслеживание дефектов (Jira, Zephyr). Документирование и отслеживание дефектов (Jira, TestIT). Разработка тест-кейсов, чек-листов и тест..."
120486374,Middle QA Engineer / Тестировщик,"Опыт работы с контейнерами (docker, k8s). Опыт автоматизации (git, <highlighttext>python</highlighttext>). Опыт работы с CI/CD (Gitlab). ","Сопровождение задач начиная с анализа требования до демонстрации и запуска их в боевой среде. Проектирование тест-планов, тест-кейсов, чек..."
120382800,Python-разработчик,,Что нужно делать: Доработка существующей системы. Создание микросервисов с нуля. Доработка собственной системы автоматизации учета продаж. Участие в разработке интеграций...
120481070,Технический директор,"Понимание стека технологий и владение языками программирования, применяемыми в областях машинного зрения, искусственного интеллекта и робототехники (C++, C, <highlighttext>Python</highlighttext>).",Оптимизация и улучшение процессов разработки. Формирование и руководство командами разработчиков. Контроль выполнения задач и соблюдение сроков. Проведение аудита текущих процессов...
120464105,Python Developer Middle / Middle+,Коммерческий опыт разработки от 2-ух лет. Уверенные знания и опыт работы с <highlighttext>Python</highlighttext>. Опыт работы с веб-фреймворками (Django...,Участвовать в разработке архитектуры. Разрабатывать бэк для мобильных приложений с 0 и дорабатывать существующие продукты. Участвовать в формировании плана разработки. 
120458509,Python-разработчик,Опыт backend-разработки от 2 лет. Уверенное знание <highlighttext>Python</highlighttext> и современного стека веб-разработки. Опыт проектирования REST API и работы...,Разработка и развитие микросервисов на FastAPI. Создание и поддержка REST API. Интеграция с внешними API. Работа с Kafka и асинхронными...
120461720,Java-разработчик (Инвестиционный блок),"Опыт разработки и уверенное знание Java 8+. Опыт разработки и уверенное знание Spring Framework (Spring Core, Spring Boot, Spring...","Разработка и поддержка микросервисов в рамках продуктовой кросс-функциональной команды. Активное взаимодействие с владельцем продукта, аналитиками, инженерами по обеспечению качества..."
120475588,Тестировщик ПО (ручное тестирование веб и мобильных приложений на Android и Windows),Умение работать с Android Studio. Понимание формата JSON и умение анализировать JSON-структуры. Желание осваивать автоматизированное тестирование на <highlighttext>Python</highlighttext>.,Проводить ручное тестирование веб и мобильных приложений на Android и Windows. Поддерживать существующую тестовую документацию и создавать новую. 
120385704,Тестировщик junior+ / middle (Москва),"Преимуществом будут: Опыт автоматизации с использованием <highlighttext>Python</highlighttext>, git. Опыт работы с Mongo, Clickhouse. Опыт работы с Allure TestOps/ТестОпс. - ","Плотная работа с бизнес-аналитиками, сбор и анализ требований к продукту с точки зрения тестировния. Тестирование серверной и клиентской части..."
120473644,Тестировщик / QA + 2nd line support,"Опыт работы с Postman/Insomnia, Swagger. Опыт работы с Git. Понимание основ Javascript. Опыт автоматизации на <highlighttext>Python</highlighttext>. Наличие профильных сертификатов.","Вести очередь обращений под руководством наставника. При необходимости уточнять информацию по обращениям, оперативно реагировать на инциденты в соответствии с регламентом. "
120385203,Аналитик данных,"Языки программирования: <highlighttext>Python</highlighttext>, SQL. Навыки работы в Power BI: разработка отчетов, создание дашбордов, визуализация данных. Продвинутый уровень MS Excel: сводные...","Работа с базами данных SQL. Извлечение, очистка и подготовка данных, нормализация и агрегация, загрузка в системы и хранилища. "
120318650,Manual QA Engineer (Middle),"...etc.) и способность их анализировать. Желание развиваться в автоматизированном тестировании (<highlighttext>Python</highlighttext>). Готовность работать в динамичной среде, где используются современные технологии.","Писать и поддерживать тестовую документацию в Allure TestOps, включая отчеты по автотестам и результаты ручного тестирования. Проводить функциональное и интеграционное..."
120487949,QA engineer,"Опыт тестирования web-сервисов. Опыт тестирования API. Знание технологического стека: <highlighttext>Python</highlighttext>, Pytest, Selenium, Git. Опыт работы в Jira/Confluence. ","Тестировать новую функциональность, выполнять регрессионное и интеграционное тестирование WebUI, API, интеграции со смежными сервисами. Работать с логами и трейсами сервисов..."
120379473,Инженер по тестированию (ручное тестирование),"Знание жизненного цикла программного обеспечения и теории тестирования. Знания <highlighttext>Python</highlighttext>, Pytest, Requests, Selenium, Postman, Swagger. Понимание основ тестирования и владение...",Планирование тестирования. Выполнение тестов. Анализ результатов. Сотрудничество с командой. Поддержка качества.
120313069,Заместитель директора департамента информационных технологий,"Опыт работы с Wireguard, Ansible, Zabbix, Grafana, Terraform. Владение <highlighttext>Python</highlighttext> или опыт разработки скриптов для автоматизации. Понимание устройства Anycast-сетей...","Руководство IT подразделением 250 человек, а также создание и реализация комплексной IT-стратегии как части общей бизнес-стратегии. "
120300880,Тестировщик ПО (QA Engineer),Опыт в ручном и автоматическом тестировании от 2 лет. Навыки автоматизации (<highlighttext>Python</highlighttext>/JavaScript + Selenium/Playwright/Cypress/Pytest). ,"Проводить ручное тестирование веб-интерфейса (составлять тест-кейсы, чек-листы, тестировать новые фичи, проводить регресс-тестирование). Автоматизировать тестирование (писать и..."
120494149,Junior ML Разработчик,"Знакомы с <highlighttext>Python</highlighttext> и участвовали в ML-проектах (личных, учебных, любых) — мы открыты к кандидатам без коммерческого опыта, если есть...",Участие в разработке сервисов и пилотных проектов в области анализа данных и машинного обучения — от сбора данных до оценки качества...
120403873,Middle Frontend-разработчик,"Знакомство с Docker. Будет плюсом: -Знание PHP, MySQL, Wordpress, <highlighttext>Python</highlighttext>, Java, PostgreSQL. -Опыт работы с Figma. -Опыт работы с Linux. ","Верстка и программирование веб-сайтов (JavaScript/TypeScript, Node.js, Vue.js). -Интеграция frontend с backend. -Интеграция сторонних сервисов (платежи, email, карты, соцсети..."
120471114,Старший аналитик,"Умение работать на стыке коммерции и финансов. Уверенное владение Power BI, SQL, <highlighttext>Python</highlighttext>. Высшее образование. Опыт работы на позиции старшего...","Расчет и регулярный мониторинг ключевых коммерческих и финансовых показателей отдела, анализ отклонений. Построение моделей ценообразования и прогнозирование экономической эффективности. "
120477024,Software Engineer,"Предпочтительно: Выпускник топовых казахстанских и зарубежных вузов - Nazarbayev University, KIMEP, etc. Опыт разработки с <highlighttext>Python</highlighttext>/Django/DRF. Опыт работы с...",КЛЮЧЕВОЕ!
120327991,QA engineer / Тестировщик,"Опыт ручного тестирования от 2 лет. Опыт написания автотестов будет плюсом. Технические знания Git, SQL, Linux, <highlighttext>Python</highlighttext> (или другого языка...","Тестировать web-приложение, API и интеграции на соответствие функциональным и нефункциональным требованиям. Помогать команде разработки анализировать и прорабатывать требования к..."
120397576,Разработчик Python,Программирование на <highlighttext>Python</highlighttext> от 3 лет. Gitlab. SQL (минимум Postgre/Oracle/MSQL). Pandas. Базовое понимает архитектурного стиля REST API. ,"Разработка продуктов по реализации сбора метаданных (сканеров к системам источникам: СУБД, BI, ETL/ELT, Брокеры сообщений, Моделеры, приложения и т..."
120401948,Разработчик,"Базовые навыки <highlighttext>Python</highlighttext> и Django. Опыт или уверенное понимание JavaScript и React. Навыки работы с Docker, Git и базовое знание...","Активно растущая компания Оконный континент находится в поиске ""Разработчика"" для создания и интеграции корпоративных сервисных веб-приложений. Также потребуется работа..."
120415019,Python Developer,"Отличное понимание асинхронности, её видов и их реализаций в языке <highlighttext>python</highlighttext>. Опыт работы с очередями задач. Понимание того как делаются...","Расширение функционала текущей системы, которая предназначена для выполнения аналитической работы (Сборка различной информации посредством написания запросов к API и базам..."
120457686,Тестировщик (Web и Mobile),"Знание SQL на уровне join-запросов. Знание <highlighttext>Python</highlighttext>. Опыт работы с Android Studio (логи, эмуляторы). Наличие опыта нагрузочного тестирования и...","Тестирование WEB и мобильных приложений (Android и iOS). Тестирование API. Ведение тестовой документации: баг-репорты, тест-кейсы, чек-листы и..."
120464435,Python-разработчик (Начинающий),"...можешь привести примеры, описать что оно делает и для чего оно нужно. Есть желание развиваться в асинхронном программировании на <highlighttext>Python</highlighttext>.",Анализ API-сторонних сервисов и доработка собственных. Оптимизация узких мест в основной архитектуре продукта.
120426489,Python Developer/DevOps (Python разработчик/Девопс),Уверенно знаете <highlighttext>Python</highlighttext> 3. Работали с Git. Имеете опыт развертывания и администрирования виртуальных машин и контейнерных окружений. Пользовались Docker. ,"Разработка микро-сервисов для интеграции компонентов внутренней инфраструктуры: Jira, GitLab, HashiCorp Vault, EFK, Prometheus/Grafana, Nexus/Artifactory. Приведение инфраструктуры к..."
118711736,Web-программист - стажер,Carfast- Первый онлайн авто аукцион в Казахстане. Доброжелательный и целеустремленный командный игрок. Принимаете верные решения в критических ситуациях. ,"Лучшая система аналитики товаров на Kaspi. Fastbot - Телеграм бот для поиска авто. Ну и есть конечно же такие проекты, как..."
120478158,Python-разработчик,"Знание <highlighttext>Python</highlighttext> 3.8+, asyncio (async/await). Опыт работы с SQL (Oracle/PostgreSQL), ORM (SQLAlchemy). Знание Git. ",Разрабатывать новые и дорабатывать существующие программные продукты на <highlighttext>Python</highlighttext>. Участвовать в анализе (разработке) требований к реализации новых решений. 
120288351,Аналитик данных,"Знание Excel/Google Sheets (сводные таблицы, формулы, макросы). Базовые знания <highlighttext>Python</highlighttext>/R для анализа данных (Pandas, NumPy, matplotlib — будет плюсом). ","Автоматизация рутинных процессов сбора и обработки данных (<highlighttext>Python</highlighttext>, Excel, скрипты). Взаимодействие с отделами финансов, маркетинга, поддержки и продаж для уточнения..."
120464309,QA инженер (PPEM),"Опыт ручного тестирования (UI, API, DB) и автоматизации на <highlighttext>Python</highlighttext> (или другом ЯП) от 3х лет. Опыт работы с...","Ручным тестированием новой функциональности (UI, API, DB). Поддержкой и актуализацией текущих тест-кейсов и автотестов. Участием в развитии автотестового фреймворка. "
120386630,Python разработчик / Python Developer,Современный стек технологий. Опыт работы в роли <highlighttext>Python</highlighttext> Developer от 2-х лет. Глубокое знание <highlighttext>Python</highlighttext> 3.12+. ,Разработка и рефакторинг микросервисов. Подготовка релизов и взаимодействие с другими подразделениями. Декомпозиция задач и планирование спринтов в рамках SCRUM. 
120400908,Junior Python Backend Developer,Профильное высшее образование. Уверенное знание <highlighttext>Python</highlighttext> и SQL. Знание классических алгоритмов и структур данных. Базовые навыки Django. Работа с терминалом...,Развивать и поддерживать веб сервис написанный на Django. Поддерживать модули интеграции платежных систем Stripe и Paypal. Расширять функционал медиа обработки...
120397978,Руководитель отдела аналитики,"Свободное владение инструментами работы с данными (BI-системы, SQL, <highlighttext>Python</highlighttext> и др.). Опыт работы с продуктовыми командами и глубокое понимание...","Заниматься наймом, развитием и ростом команды аналитики. Отвечать за результат и качество аналитических продуктов. Улучшать инфраструктуру для контроля качества и..."
120318103,Junior Python-developer (Python разработчик),"Уверенные навыки написания кода на <highlighttext>Python</highlighttext>. - Знание REST API и одного из популярных веб-фреймворков (Django, FastAPI). - Навыки работы с...",
120475234,Python-разработчик,Уверенные знания <highlighttext>Python</highlighttext> (Django/FastAPI).,"Создание новых решений по коммерческим решениям в рамках предиктивного анализа, big data, импортозамещения. -Разработка совместно с frontend-разработчиками API. -"
120468532,Тестировщик,"Опыт работы с системами управления тестированием: Jira, TestRail, Confluence. Опыт тестирования на всех уровнях: модульный, интеграционный, системный, приемочный. ","...и регрессионного тестирования. Использование инструментов автоматизации (например, Selenium, Cypress, Playwright, pytest). Написание скриптов для тестирования API (например, на <highlighttext>Python</highlighttext>, JavaScript)."
120185225,Junior Python-разработчик,"Опыт работы в системном администрировании (настройка сетей). Знаете языки программирования <highlighttext>Python</highlighttext>, и язык запросов SQL. Знаете протоколы HTTP, WS, MAVLink. ",Трехнедельная оплачиваемая стажировка под присмотром наставника. Работа над нашим основным продуктом - ИИ ассистент Софи по поиску работы. Комплексное решение задач...
120018669,Тестировщик с навыками SQL,"Плюсом будет, если умеешь самостоятельно устанавливать проекты на Java или <highlighttext>Python</highlighttext>, а также настраивать CI/CD для автотестирования. ","Проводить функциональное и нефункциональное тестирование веб-приложений. Заниматься ручным тестированием и, по возможности, выстраивать процессы автоматизированного тестирования. Определять, какие тесты..."
120308202,QA-инженер (Manual/auto),Уверенный опыт ручного тестирования. Навыки автоматизации тестов (JavaScript или <highlighttext>Python</highlighttext>). Опыт тестирования API и работы с Postman/curl. ,Проводить ручное тестирование. Создавать и поддерживать автотесты с нуля (JavaScript или <highlighttext>Python</highlighttext> — на выбор). Писать и актуализировать тестовые сценарии (используем...
120472671,Middle Project Manager / Менеджер проектов,"Опыт работы на картографических проектах. Опыт работы на проектах со стеком: backend - <highlighttext>Python</highlighttext>, Java; frontend - Swift, Kotlin. Знание английского от...","Планирование и управление ресурсами проекта. Выстраивание коммуникаций в команде проекта. Постановка, контроль и приемка задач. Работа с рисками, сроками и..."
120467678,QA-инженер,Метрики в Prometheus + алёрты Grafana.,"Тест‑стратегия. Составить master‑test‑plan: API, UI, интеграция, нагрузка, безопасность. Автоматизация. API‑тесты (pytest, pytest‑asyncio). UI‑тесты (Playwright). "
120359283,Backend Python Developer (Dubai onsite),Английский язык B2 и выше. Необходимые знания и навыки: - подтвержденный коммерческий опыт работы на pyhton от четырех лет. - ,
120477366,BI Аналитик,"Опыт работы BI Аналитиком от 1 года. Опыт работы с Fine BI, SQL, <highlighttext>Python</highlighttext>. Опыт разработки отчетов от интервью заказчика...","Разработка и доработка аналитических инструментов. Поддержка процесса планирования: моделирование, расчёты. Разработка, согласование и сопровождение формул расчетов и справочной информации. "
120462158,Аналитик данных,"Опыт проведения системного и бизнес анализа. Знание <highlighttext>Python</highlighttext>. Знание BI инструментов (QlikView, Tableau, PowerBI, Microstrategy). Понимание принципов построения DWH (Data...","Проектирование и разработка витрин для аналитиков и отчетности. Проектирование и разработка регулярной отчетности. Администрирование платформ отчётности (MS SSRS, MS SSAS). "
120490383,"Python Backend разработчик ( FastAPI, Django)","Опыт работы с FastAPI, Django. Будет плюсом SQLAlchemy. Опыт работы с SQL и NoSQL БД, брокерами очередей. Будет плюсом опыт...","Писать чистый, понятный и поддерживаемый код, следуя передовым практикам разработки. Коммуницировать с командой и специалистами из смежных отделов (PM, QA..."
119878802,Программист,,"собирает аналитику по звонкам (выборка исходящих звонков среди воронок, этапов нашей CRM и др.). — Возможность стать автором ключевого IT-продукта..."
120350771,Front-End Developer,"5+ years of experience with Javascript. Strong knowledge of Angular, TypeScript/JavaScript. Experience and understanding of optimization principles. ","Front-End Developer (worldwide remote, work anywhere)."
120482704,Инженер-программист Python,Опыт коммерческой разработки на <highlighttext>Python</highlighttext> от 2-х летХорошие навыки работы с Linux и написания <highlighttext>Python</highlighttext>-кода под Linux – вся...,Интеграцией новых линеек серверов в существующие сервисы программного-аппаратного тестирования. Участием в развитии архитектуры DCIM с использованием актуальных отраслевых стандартов. 
119531965,Тестировщик (QA),"Базовые знание любых языков программирования, используемых в проекте: JavaScript (Node.js), <highlighttext>Python</highlighttext>, C++, Bash. Понимание принципов работы фронтенд и бэкенд частей...",Участие в анализе требований и создание тест-кейсов на основе спецификаций и требований к ПО. Работа в системах баг-трекинга...
120434195,QA Automation Engineer / Manual / Тестировщик ПО,"Опыт работы в Jira, Confluence, Git. -Опыт написания UI/API автотестов (на <highlighttext>Python</highlighttext>/Java/C#). -Работа с Selenium, Playwright, RestAssured...","Нагрузочное тестирование (JMeter, Gatling)."
120448565,Backend Developer / Бэкенд-разработчик (Python Django),"Стек технологий: <highlighttext>Python</highlighttext>, Django, Rest Framework, Celery, Postgres, Redis, pytest, asyncio, AMQP. Опыт коммерческой разработки Django 3+ года. ",Разработка и развивать backend-часть проектов на <highlighttext>Python</highlighttext>/Django. Разработка REST API сервисы. Написание автотестов (pytest) и поддерживать высокий уровень...
120419970,Middle разработчик React (RuBackup),"Бэкенд: <highlighttext>Python</highlighttext>, Flask. БД: PostgreSql. Фронт: Javascript, React, Redux-toolkit. Понимание принципов работы HTTP, REST API, клиент-серверного взаимодействия. ","Проектирование и разработка функциональности веб-приложения. Исправление багов, участие в ревью кода. Участвовать в планировании и оценке задач. "
120464147,Тестировщик,"Оконченное высшее техническое образование/ неоконченное, с возможностью работать 5/2, полный день. Понимание работы с серверами на базе linux (debian/ubuntu). ",Принимать от разработчиков парсеры после написания или доработок для тестирования. Соблюдая описанные документально рекомендации проводить тестирование парсеров (проверка сбора торговых...
120417659,Аналитик данных (Junior+),"Опыт в аналитике от двух лет. Отличные знания SQL (желательно Greenplum, Clickhouse). Опыт отчетностью в Superset, PowerBI или любым другим...","...расходов, увеличение конверсии. Взаимодействия с большим количеством операционных заказчиков. Работы с Git. Продуктивизации и автоматизации своей работы <highlighttext>Python</highlighttext>/Airflow/DBT."
120496198,Middle Python разработчик,"Проектировать и выстраивать архитектуру сервиса и микросервисов. Flask / FastAPI. MySQL. Aiogram (Telegram-боты). Опыт написания парсеров. Front-end (HTML, CSS...",Писать back-end и API. Linux (настройка окружения).
120420336,Аналитик данных,Знаете принципы работы с BI-платформами. Умеете проводить аналитику <highlighttext>Python</highlighttext> с подключением SQL. Способны визуализировать данные в удобной для принятия...,"Выборка количественных данных, подготовка отчетов (регулярных и по запросу). Визуализация количественных данных (графиков, карт, таблиц). Ходим в постгрес и\или..."
120486356,Python-разработчик,Опыт разработки на <highlighttext>Python</highlighttext> от года. Опыт реализации REST-сервисов. Желание развиваться и изучать новейшие технологии. Навыки работы с чат...,Реализация коробочных решений на базе ИИ для автоматизации бизнес задач предприятий. Реализация задач интеграции со сторонними сервисами и разработка REST...
120487655,Аналитик данных,"Высшее образование (экономическое, математическое или IT). Владение <highlighttext>Python</highlighttext>, SQL, Impala. Владение Spark, Airflow. Опыт написания требований для BI. ","Обеспечение устойчивого функционирования и развитие системы сбора и хранения данных, используемых при разработке моделей оценки компонентов кредитного риска для корпоративных..."
120298413,QA Engineer,"Знание методологий тестирования и опыт составления тест-кейсов. Навыки автоматизации тестирования на <highlighttext>Python</highlighttext>, опыт работы с Git. Понимание процессов разработки...","Разработка тестовых сценариев и планов тестирования для программного обеспечения . Автоматизация тестирования с использованием современных. Инструментов и технологий. Выявление, регистрация и..."
119901390,Продуктовый/BI аналитик,"Знание программы SQL, Power BI, Oracle, <highlighttext>Python</highlighttext>. Опыт работы в данном направлении от 2-х и более лет. ",Анализировать источники данных. Строить воронки продаж. Собирать требования для построения консолидированных витрин с аналитическими данными. Проводить А/Б тесты. 
120404933,Директор по данным,"Глубокое понимание технологий обработки данных (SQL, <highlighttext>Python</highlighttext>, Hadoop, Spark и др.). Экспертизу в области аналитики данных, машинного обучения и искусственного...","Разработка и внедрение корпоративной стратегии управления данными, формирование источников повышения конкурентоспособности и достижения бизнес-целей за счет сквозной аналитики и..."
120456270,"Backend-разработчик Python (FastAPI + AI, медицинское приложение)","Отличное знание <highlighttext>Python</highlighttext> 3.10+, FastAPI, Pydantic. Опыт реализации REST API и стриминговых ответов. Знание OpenAI API, OpenRouter, или...","Разработка серверной части на FastAPI. Подключение и маршрутизация AI-моделей (OpenAI, OpenRouter и др.). Поддержка стриминга ответов (StreamingResponse, SSE, WebSocket). "
120345556,Junior developer (разработчик Phyton),"Иметь в портфолио реальные (не учебные!) на React и <highlighttext>Python</highlighttext>. Понимание принципов ООП, REST, работы с Git. Готовность учиться и...","Разработка и поддержка веб-приложений на React (hooks, Redux, REST API). Написание бэкенд-логики на <highlighttext>Python</highlighttext> (Django/Flask, работа с..."
120461886,Backend python developer,Требования: Сильные аналитические навыки. Владение стеком <highlighttext>Python</highlighttext> (от 3х лет коммерческой разработки). Умение хорошо работать с данными и с...,PriceTuner — инструмент 1 в России для контроля и настройки цен в FMCG-ретейле. Ежедневно получаем цены на весь ассортимент 60...
119764649,Аналитик данных (Data analyst),"Опыт анализа текстовых данных (NLP): токенизация, классификация, извлечение сущностей. Знание SQL, <highlighttext>Python</highlighttext> (библиотеки:Pandas, NLTK, spaCy, dbt), R. ","Сбор и анализ требований: Сбор и документирование требований к данным от заинтересованных сторон, включая анализ текстовых данных (например, пользовательские запросы..."
120436522,Руководитель отдела тестирования,"...и подобными, в роли программиста или системного администратора. Опыт программирования от 3 лет: Bash, <highlighttext>Python</highlighttext> - обязательно. C/C++, Java – желательно.",Руководить сотрудниками отдела тестирования и документирования. Разрабатывать планы по решению поставленных перед отделом задач и обеспечивать их выполнение сотрудниками отдела. 
120414676,Python разработчик,...на <highlighttext>Python</highlighttext> от 3х лет. Знание алгоритмов и структур данных. Опыт разработки серверных приложений на веб-фреймворках <highlighttext>Python</highlighttext> (FastAPI...,Проектирование микросервисной архитектуры и проработка отказоустойчивости системы. Реализация инструментов для цифровой платформы администрирования парка беспилотных автомобилей и коммерческих грузоперевозок. 
120485494,Python-разработчик,"Опыт работы с <highlighttext>Python</highlighttext> (обязательно), RESTful API, GraphQL и микросервисной архитектурой. Умение работать с облачными платформами (Cloud Yandex, Sber и...","Интеграция готовых ИИ-сервисов (Cloud Yandex, Sber, OpenAI, Hugging Face и другие) в существующие продукты. Адаптация предварительно обученных моделей под..."
